OBJECTID,ID,INDEX_PARC,NOM,ARROND,TYPE
250,009-0007,2815-000,Aire de pique-nique,Saint-Laurent,Plein air
251,072-0027,2551-000,Anneau / Rond de glace,Montréal-Nord,Loisirs et détente
252,018-0075,2350-000,Basketball,L'Île-Bizard-Sainte-Geneviève,Récréatif
253,001-0024,2014-000,Arbri soleil,Anjou,Plein air
254,071-0001,2791-000,Sentier pédestre,Saint-Laurent,Plein air
255,003-0197,0566-000,Aire de jeu 18 mois à 5 ans,Ville-Marie,Aire de jeu - enfant
256,001-0018,2552-000,Arbri soleil,Montréal-Nord,Plein air
257,012-0026,0764-000,Aire d'entraînement pour adultes,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
258,013-0016,0401-000,Aire d'exercice canin,Villeray-Saint-Michel-Parc-Extension,Loisirs et détente
259,050-0087,0091-000,Pataugeoire,Mercier-Hochelaga-Maisonneuve,Récréatif
260,004-0327,0277-000,Aire de jeu  5 à 12 ans,Le Sud-Ouest,Aire de jeu - enfant
261,060-0001,2675-000,Piste de BMX,Pierrefonds-Roxboro,Récréatif
262,053-0008,0426-000,Patinoire sans bandes,Ahuntsic-Cartierville,Récréatif
263,053-0079,0102-000,Patinoire sans bandes,Mercier-Hochelaga-Maisonneuve,Récréatif
264,004-0143,0199-000,Aire de jeu  5 à 12 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
265,012-0004,3814-000,Aire d'entraînement pour adultes,Saint-Laurent,Loisirs et détente
266,021-0008,0413-000,Bocce,Ahuntsic-Cartierville,Loisirs et détente
267,076-0039,0402-000,Soccer à 7,Villeray-Saint-Michel-Parc-Extension,Sportif
268,003-0028,2827-000,Aire de jeu 18 mois à 5 ans,Saint-Laurent,Aire de jeu - enfant
269,050-0040,0938-000,Pataugeoire,Villeray-Saint-Michel-Parc-Extension,Récréatif
270,003-0034,2826-000,Aire de jeu 18 mois à 5 ans,Saint-Laurent,Aire de jeu - enfant
271,064-0018,1027-000,Rampe de mise à l'eau / descente de bateaux,Rivière-des-Prairies-Pointe-aux-Trembles,Plein air
272,073-0002-76-S2,2812-000,Soccer sous-terrain à 7,Saint-Laurent,Sportif
273,004-0166,0385-000,Aire de jeu  5 à 12 ans,Ville-Marie,Aire de jeu - enfant
274,009-0018,9543-000,Aire de pique-nique,Saint-Laurent,Plein air
275,018-0010,2813-000,Basketball,Saint-Laurent,Récréatif
276,004-0134,0946-000,Aire de jeu  5 à 12 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
277,004-0144,0952-000,Aire de jeu  5 à 12 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
278,018-0060,1143-000,Basketball,Ville-Marie,Récréatif
279,003-0417,0680-000,Aire de jeu 18 mois à 5 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
280,081-0062,2449-000,Tennis,LaSalle,Sportif
281,004-0011,2803-000,Aire de jeu  5 à 12 ans,Saint-Laurent,Aire de jeu - enfant
282,089-0011,0224-000,Volleyball de plage,Le Plateau-Mont-Royal,Récréatif
283,004-0190,2732-000,Aire de jeu  5 à 12 ans,Pierrefonds-Roxboro,Aire de jeu - enfant
284,042-0119,2559-000,Jeux d'eau,Montréal-Nord,Récréatif
285,016-0058,0407-000,Balle,Villeray-Saint-Michel-Parc-Extension,Sportif
286,074-0030-76-S1,2850-000,Soccer sous-terrain à 7,Saint-Léonard,Sportif
287,021-0064,2814-000,Bocce,Saint-Laurent,Loisirs et détente
288,081-0097,2854-000,Tennis,Saint-Léonard,Sportif
289,076-0081,1840-000,Soccer à 7,LaSalle,Sportif
290,074-0008-76-S2,2430-002,Soccer sous-terrain à 7,Lachine,Sportif
291,003-0508,1054-002,Aire de jeu 18 mois à 5 ans,Le Sud-Ouest,Aire de jeu - enfant
292,018-0061,0043-000,Basketball,Ville-Marie,Récréatif
293,025-0001,2006-000,Ciné-parc,Anjou,Loisirs et détente
